backport-util-concurrent;groovy;1
hibernate;jdom;1
freemarker;selenium;1
jboss;tomcat;1
hibernate;seam;1
json-lib;netty;1
easymock;jasypt;1
xmlunit;mockito;1
commons-jelly;org.eclipse;1
akka-actor;hamcrest;1
org.json;dom4j;1
hsqldb;h2;1
h2;hsqldb;1
jmock;commons-beanutils;1
commons-beanutils;jmock;1
junit;commons-exec;1
akka-actor;osgi;1
xmlbeans;ant;1
hamcrest;ant;1
ant;hamcrest;1
dwr;jcip-annotations;1
svenson;commons-codec;1
hsqldb;args4j;1
idb;tapestry;1
lucene;freemarker;1
xmlParserAPIs;openide-lookup;1
xom;xmlParserAPIs;1
glassfish;derby;1
opencsv;derby;1
xmlbeans;commons-httpclient;1
junit;org.eclipse;1
gson;java-rdfa;1
fastutil;lucene;1
akka-actor;apache-felix;1
slf4j;xalan;1
junit;lwjgl;1
hibernate;org.restlet;1
jacorb;simple-xml;1
ognl;aether-connector;1
ant;slf4j;1
slf4j;ant;1
log4j;org.eclipse;1
aopalliance;jackson;1
org.eclipse;freemarker;1
commons-validator;xmlParserAPIs;1
eclipselink;arquillian;1
spring;commons-logging;1
lite;jetty-mortbay;1
yuicompressor;hamcrest;1
log4j;jython;1
ehcache;kahadb;1
commons-logging;perf4j;1
json-lib;jxl;1
dbunit;hbase;1
webwork;jxl;1
swingx;derby;1
derby;jmeter;1
concurrent;commons-httpclient;1
commons-lang;httpcore;1
xpp3;shared-dsml-parser;1
org.eclipse;org.restlet;1
xdoclet;javacc;1
svnkit;org.json;1
icu4j;commons-compress;1
osgi;mockito;1
stax-utils;hamcrest;1
httpclient;org.json;1
org.json;httpclient;1
struts;icu4j;1
oro;freemarker;1
findbugs;org.eclipse.jdt.core;1
ehcache;freemarker;1
geronimo;h2;1
commons-httpclient;liquibase;1
pircbot;commons-dbcp;1
reflections;dbunit;1
opencsv;hamcrest;1
urlrewrite;xalan;1
quartz;commons-lang;1
easymock;hsqldb;1
swing-layout;commons-lang;1
commons-pool;amqp-client;1
swingx;junit;1
groovy;shared-ldap;1
akka-actor;guava;1
abdera;json-lib;1
postgresql;hsqldb;1
commons-dbcp;guava;1
oro;h2;1
jasperreports;junit;1
substance;struts;1
jdom;slf4j;1
slf4j;jdom;1
junit;json-lib;1
jxlayer;swing-layout;1
jaxme;commons-cli;1
pcj;commons-collections;1
log4j;aduna-commons-iteration;1
httpasyncclient;commons-io;1
commons-beanutils;json-simple;1
itext;jmock;1
urlrewrite;xerces;1
testng;slf4j;1
slf4j;testng;1
ognl;velocity;1
xerces;xmlunit;1
aopalliance;freemarker;1
guice;org.restlet;1
tomcat;jackson;1
shrinkwrap;spring;1
commons-configuration;solr;1
httpunit;icefaces;1
commons-logging;mahout;1
gmbal-api-only;bndlib;1
pluto;solr;1
hibernate;log4j;1
log4j;hibernate;1
jacorb;antlr;1
richfaces;org.wikimodel.wem;1
